trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.2, 'e': 0.1669601696670407}",30,24,12.463112041400828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.16529888822158653}",20,12,7.758459855793959,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.16365413680270405}",25,17,-13.349407976898826,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.16202575093388075}",20,14,-1.0548824152467793,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.16041356777517274}",30,9,34.51651431429875,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.15881742610692068}",20,8,-4.971635380468145,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.1572371663136276}",20,13,0.554636923181167,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.1556726303679973}",20,9,-2.119638410245611,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
188,False,"{'a': 0.2, 'e': 0.1541236618151314}",25,2,19.32730180637793,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.15259010575688386}",25,4,22.793565955961533,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.2, 'e': 0.15107180883637084}",30,18,10.925071914443267,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.2, 'e': 0.14956861922263504}",25,14,-8.657675051558623,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
192,False,"{'a': 0.2, 'e': 0.14808038659546244}",20,7,-20.364217588127985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.2, 'e': 0.14660696213035015}",25,8,-13.670842691926543,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.2, 'e': 0.14514819848362373}",20,0,1.5609579623131031,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
